,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,city,lat,lon
1,2023-04-22 04:00:00+00:00,33.6435,47.921608,21.0935,37.86195,0,0,0,0,1007.8,1002.4303,0,0,0,0,6.0347,7.754637,342.64587,338.19852,17.64,srikakulam,19.12,84.7
2,2021-11-15 20:00:00+00:00,23.6935,97.61691,23.293499,28.702282,0.1,0.1,0,0,1008.1,1002.54944,93,100,5,0,4.5536795,11.200571,18.435053,44.999897,8.64,srikakulam,19.12,84.7
3,2021-11-19 11:00:00+00:00,25.9435,84.57622,23.1435,29.522606,0,0,0,0,1006.8,1001.29803,81.9,43,31,82,13.722565,22.366402,94.5139,93.691315,27,srikakulam,19.12,84.7
4,2017-10-05 05:00:00+00:00,27.1435,83.94433,24.1935,31.935417,2.3,2.3,0,0,1008.6,1003.1103,87,45,36,83,9.793058,13.1041975,107.10281,105.945465,24.84,srikakulam,19.12,84.7
5,2017-07-23 00:00:00+00:00,28.4935,71.5175,22.8435,31.6283,0,0,0,0,1001.4,995.9739,32.7,1,3,100,15.530151,28.528723,224.0609,227.04541,29.88,srikakulam,19.12,84.7
6,2024-02-19 01:00:00+00:00,20.5935,92.55132,19.3435,23.40404,0,0,0,0,1014.3,1008.6565,0,0,0,0,5.0142193,14.773164,248.96242,226.97493,12.24,srikakulam,19.12,84.7
7,2019-02-27 00:00:00+00:00,22.9435,91.271034,21.4435,25.962053,0,0,0,0,1008.9,1003.33093,28.2,4,41,0,10.966713,20.929594,203.19862,206.56499,16.199999,srikakulam,19.12,84.7
8,2021-01-25 22:00:00+00:00,20.543499,95.46855,19.793499,23.29224,0,0,0,0,1012.4,1006.7661,12.9,1,0,40,6.9527545,11.792404,201.25058,211.26367,8.28,srikakulam,19.12,84.7
9,2015-04-22 02:00:00+00:00,29.122002,76.06491,24.472,32.24464,0,0,0,0,1008.5,1003.04663,0,0,0,0,22.42427,28.528723,222.39738,222.95459,32.399998,srikakulam,19.12,84.7
10,2017-11-27 16:00:00+00:00,20.043499,91.94477,18.6935,22.26624,0,0,0,0,1013.7,1008.04944,21,0,0,70,6.9247384,9.793058,27.897186,72.89719,9,srikakulam,19.12,84.7
